id,term,category,definition,aliases
term.how_is_rental_income_tax_charged_in_singapore,How is rental income tax charged in Singapore,Legal&Docs,"If your tenant is responsible for e-Stamping the rental agreement, you can request a copy of the stamp certificate from them to ensure compliance. It is important to note that failure to comply with these tax obligations may result in penalties, including a fine of more than S$5,000 and potential interest on the tax owed.  Source: Rental income tax in Singapore  https://www.99.co/singapore/glossary/rental-income-tax-in-singapore/  (index: Rental income tax in Singapore)",HS
term.how_to_calculate_rental_income_tax_in_singapore,How to calculate rental income tax in Singapore,Finance&Rates,"Calculating rental tax income in Singapore involves deducting allowable expenses, such as mortgage interest and deemed expenses, from the gross rent. You can claim a 15% deemed rental expense deduction in addition to mortgage interest, which is typically pre-filled in your income tax form. Alternatively, you can claim the actual amount of rental expenses incurred. However, the deemed expenses option is not applicable if: • You do not have any deductible expenses other than mortgage interest, related to the rental income earned. • The rental income was earned through a partnership in Singapore • The rental income was earned from a property held under a trust.  Source: Rental income tax in Singapore  https://www.99.co/singapore/glossary/rental-income-tax-in-singapore/  (index: Rental income tax in Singapore)",HS
term.how_does_higher_rent_affect_the_rental_income_tax_in_singapore,How does higher rent affect the rental income tax in Singapore,Legal&Docs,"If the rent on an existing tenancy agreement increases, there is no need to update IRAS separately for property tax purposes if the relevant documents have been e-stamped through the e-Stamping Portal within 15 days after the increase. It’s important to keep in mind that failure to comply with this requirement may result in penalties, including a fine of more than S$5,000 and potential interest on the tax owed.  Source: Rental income tax in Singapore  https://www.99.co/singapore/glossary/rental-income-tax-in-singapore/  (index: Rental income tax in Singapore)",HS
term.an_estate_agency_agreement,an estate agency agreement,Legal&Docs,"An estate agency agreement refers to any agreement between a property agency, also known as an estate agency, and a client concerning the management of a property listing for purposes such as sale, purchase, letting, leasing, renting or tenancy administration. The agreement protects both parties involved in the property transaction by clarifying the details, such as: • Defining the responsibilities of the property agency and agents • Mandating disclosure of any potential conflicts of interest • Specifying that commission is only payable to the property agency once the transaction is completed • Noting whether the commission amount includes GST When you decide to use the services of a property agent, it is recommended that you sign an agreement with them. You should receive a copy of the signed agreement immediately, but if your agent does not give you one, you should request it from them.  Source: Estate agency agreement  https://www.99.co/singapore/glossary/estate-agency-agreement/  (index: Estate agency agreement)",What is an estate agency agreement?
term.exclusive_vs_non_exclusive_estate_agency_agreement_what_s_the_difference,Exclusive vs non-exclusive estate agency agreement: What’s the difference,Legal&Docs,"When engaging a property agent in Singapore, there are typically two arrangements: exclusive and non-exclusive. An exclusive arrangement means that your agent will be your sole representative for a defined period, and even if you find a buyer on your own during that time, you still have to pay the agent’s commission fee. If you close the transaction with a party introduced by the agent within three months after the agreement expires, you still have to pay the commission fee. A non-exclusive arrangement means that while the agent represents you, you can also work with other agents and only pay the agent who completes the transaction.  Source: Estate agency agreement  https://www.99.co/singapore/glossary/estate-agency-agreement/  (index: Estate agency agreement)",EW
term.cea_s_prescribed_estate_agency_agreement,CEA’s prescribed estate agency agreement,Legal&Docs,"The CEA has created 8 standard estate agency agreements for estate agencies that cover the buying, selling, and leasing of residential properties. Your property agent will request you to complete a Customer’s Particulars Form, which is mandatory for property agents to prevent money laundering and counter-terrorist financing. By completing the form, your agent can verify your identity, record your essential information, and establish true property ownership.  Source: Estate agency agreement  https://www.99.co/singapore/glossary/estate-agency-agreement/  (index: Estate agency agreement)",What is CEA’s prescribed estate agency agreement?|CEA
term.do_i_need_to_use_cea_s_prescribed_estate_agency_agreement,Do I need to use CEA’s prescribed estate agency agreement,Legal&Docs,"No, however, by signing these agreements, you safeguard the interests of all parties involved in the property transaction and gain access to CEA’s Dispute Resolution Scheme. This would be helpful in any contractual disputes with your property agent. The scheme provides the option of mediation or arbitration through CEA-approved centres.  Source: Estate agency agreement  https://www.99.co/singapore/glossary/estate-agency-agreement/  (index: Estate agency agreement)",CEA
term.waiving_contingencies_the_risky_real_estate_gambit_that_could_make_or_break_your_deal,Waiving contingencies: The risky real estate gambit that could make or break your deal,Process,"In today’s competitive real estate market, many home buyers are resorting to risky manoeuvres to get their offers accepted. One increasingly common tactic is waiving contingencies – but this gambit could make or break your deal. [HEADING-H3] What are contingencies? Contingencies are conditions written into an offer that must be met for the purchase to move forward. Common contingencies include: • Home inspection contingency – Gives the buyer time to have the property thoroughly inspected and the right to cancel if major issues are found. • Appraisal contingency – Allows the buyer to back out if the home appraises for less than the offer price. • Loan contingency – Let the buyer walk away if they are unable to secure financing by a set date. • Sale contingency – Dependent on the buyer first selling their current home. [HEADING-H3] Why are buyers waiving contingencies? With housing inventory at record lows, buyers are getting desperate. By waiving contingencies, they hope to make their offer more appealing to sellers. This signals that the buyer is serious, financially secure, and willing to take on risk. Sellers often favour offers without contingencies because they seem less likely to fall through.  Source: Waiving  https://www.99.co/singapore/glossary/waiving-singapore/  (index: Waiving)",WT
term.the_dangers_of_waiving_contingencies,The Dangers of Waiving Contingencies,Finance&Rates,"While waiving contingencies can help your offer stand out, it also exposes you to significant financial risk: • Waiving the inspection contingency means you could be stuck with expensive hidden repairs or flaws. • Without an appraisal contingency, you risk overpaying if the home appraises for less than your offer. • Waiving loan and sale contingencies leaves you vulnerable if you ultimately can’t secure financing or sell your current home in time. • In a worst-case scenario, you could forfeit your earnest money deposit and have no home to move into. [HEADING-H3] How to Protect Yourself If you decide to waive contingencies, take steps to mitigate the risk: • Have the home thoroughly inspected before making an offer, so you are aware of any issues. • Build a cushion between your offer price and expected appraisal value. • Get pre-approved for a mortgage and have a backup plan if your current home doesn’t sell in time. • Negotiate an option period to address any deal-breaking problems that arise. Waiving contingencies is risky, but can help your offer stand out. Proceed with extreme caution, get professional guidance, and take steps to limit your exposure. With the right preparation, this gambit could pay off with your dream home.  Source: Waiving  https://www.99.co/singapore/glossary/waiving-singapore/  (index: Waiving)",TDWC
term.zoning_in_singapore,zoning in Singapore,Agency&Authority,"Zoning is a concept in urban planning that refers to the division of a city into different areas, or “zones,” within which certain land uses are permitted or prohibited. In Singapore, the Urban Redevelopment Authority (URA) is the national urban planning authority responsible for zoning. The URA’s Master Plan guides the country’s development over the next 10 to 15 years, and this plan is reviewed every five years to ensure it stays responsive to changing needs.  Source: Zoning in Singapore  https://www.99.co/singapore/glossary/understanding-zoning-in-singapore/  (index: Zoning in Singapore)",What is zoning in Singapore?
term.factors_affecting_zoning_and_the_application_process_in_singapore,Factors affecting zoning and the application process in Singapore,Agency&Authority,"The zoning process in Singapore is affected by several factors, such as the current and future needs of the population, economic growth requirements, the availability of infrastructure, and environmental considerations. To apply for a zoning change, a proposal must be submitted via URA, detailing the proposed development and demonstrating its alignment with the Master Plan’s objectives.  Source: Zoning in Singapore  https://www.99.co/singapore/glossary/understanding-zoning-in-singapore/  (index: Zoning in Singapore)",FS
term.main_difference_between_zoning_and_other_planning_terms,main difference between zoning and other planning terms,Other,"Zoning is often compared with other planning terms. While zoning refers to the division of land into zones with specific uses, land use refers to the purpose for which land is used, such as residential, commercial, or industrial. Density refers to the number of units or people that can be accommodated within a certain area.  Source: Zoning in Singapore  https://www.99.co/singapore/glossary/understanding-zoning-in-singapore/  (index: Zoning in Singapore)",What is the main difference between zoning and other planning terms
term.advantages_and_disadvantages_of_zoning_in_singapore,Advantages and disadvantages of zoning in Singapore,Other,"Zoning has advantages and disadvantages. On the one hand, it helps to prevent conflicts by keeping incompatible land uses apart, allows for orderly urban development, and ensures the availability of necessary amenities and services. On the other side, zoning can limit land use flexibility, may not always be able to adapt to changing needs or trends, and may lead to the underutilization of land.  Source: Zoning in Singapore  https://www.99.co/singapore/glossary/understanding-zoning-in-singapore/  (index: Zoning in Singapore)",AS
term.types_of_zoning_in_singapore,Types of zoning in Singapore,Agency&Authority,"In Singapore, several types of zoning are outlined in the URA Master Plan, including Residential, Commercial, Business, Industry, and Special Use zones: • Residential with Commercial at 1st Storey: These zones are primarily used for residential development with commercial use at the 1st storey only. • Commercial & Residential: These zones are used mainly for mixed residential and commercial purposes. • Commercial: These areas are primarily used for commercial development. • White: These zones are used for a variety of uses including commercial, hotel, residential, sports & recreational, and other compatible uses, or a combination of these as a mixed-use development. • Business Park: These zones are primarily used for business park operations. • Business Park – White: These zones are used mainly for business park operations and uses permissible under the White zone as a mixed-use development. • Business 1 (B1): These zones are primarily used for clean industry, light industry, warehouse, public utilities, and telecommunication uses. • Business 2 (B2): These zones are intended for clean industry, light industry, general industry, warehouse, public utilities, and telecommunication uses. • Business 1 – White: These zones are used mainly for uses permissible under the B1 zone and the White zone as a mixed-use development. [HEADING-H3] Conclusion Understanding zoning is crucial for anyone involved in property development or investment in Singapore. It not only determines what can be built, but also influences property values and the potential for future development.  Source: Zoning in Singapore  https://www.99.co/singapore/glossary/understanding-zoning-in-singapore/  (index: Zoning in Singapore)",TS
term.mortgage_reducing_term_assurance_mrta,Mortgage-Reducing Term Assurance (MRTA),Finance&Rates,"Individuals who own private properties such as condominiums or landed properties will not qualify for Home Protection Scheme (HPS) and will not automatically be enrolled in any mortgage insurance program. As such, if they wish to obtain insurance coverage they must do so through a private insurance company. The private mortgage insurance policy is commonly referred to as Mortgage Reducing Term Assurance (MRTA). Like HPS, MRTA provides coverage for the remaining mortgage payments of the policyholder for the duration of the policy. This safeguards you and your family from the risk of losing your home if you cannot make your home loan payments.  Source: Mortgage-Reducing Term Assurance (MRTA)  https://www.99.co/singapore/glossary/mortgage-reducing-term-assurance-mrta/  (index: Mortgage-Reducing Term Assurance (MRTA))",What is Mortgage-Reducing Term Assurance (MRTA)?|Mortgage-Reducing Term Assurance|MRTA
term.covered_under_the_mortgage_reducing_term_assurance_mrta,covered under the Mortgage-Reducing Term Assurance (MRTA),Finance&Rates,"In the event of your death, total or permanent disability, or terminal illness, an MRTA policy will cover your mortgage payments. Note that this may be dependent on the insurance policy you purchase.  Source: Mortgage-Reducing Term Assurance (MRTA)  https://www.99.co/singapore/glossary/mortgage-reducing-term-assurance-mrta/  (index: Mortgage-Reducing Term Assurance (MRTA))",What is covered under the Mortgage-Reducing Term Assurance (MRTA)?|covered under the Mortgage-Reducing Term Assurance|MRTA
term.do_i_need_the_mortgage_reducing_term_assurance_mrta,Do I need the Mortgage-Reducing Term Assurance (MRTA),HDB,"If you own an HDB flat and utilise your CPF OA funds to service the mortgage, you are automatically enrolled in the HPS for mortgage insurance and can continue to be covered under it. However, it might be worth obtaining mortgage insurance from a private insurance company if you don’t fall under this category. Here are some considerations to help you make an informed decision about whether or not to purchase mortgage insurance: This will ensure your mortgage is fully insured, and your family will not risk losing their home or experiencing financial difficulties if you can no longer pay the bills. You should also check your spouse’s insurance coverage if you jointly own your home. This means you must terminate it and apply for a new one once you relocate. As such, you might want to hold off on purchasing an MRTA policy until you settle in the new place.  Source: Mortgage-Reducing Term Assurance (MRTA)  https://www.99.co/singapore/glossary/mortgage-reducing-term-assurance-mrta/  (index: Mortgage-Reducing Term Assurance (MRTA))",Do I need the Mortgage-Reducing Term Assurance|MRTA|DMRTA
term.you_might_also_be_interested_in,You Might Also Be Interested In,Finance&Rates,Source: Mortgage-Reducing Term Assurance (MRTA)  https://www.99.co/singapore/glossary/mortgage-reducing-term-assurance-mrta/  (index: Mortgage-Reducing Term Assurance (MRTA)),YMABII
term.a_real_estate_investment_trust_reit,a Real Estate Investment Trust (REIT),Agency&Authority,"When you invest in a Real Estate Investment Trust (REIT), your funds are combined with those of other investors in a collective investment plan that invests in a portfolio of income-generating real estate assets such as retail malls, offices, hotels, or serviced apartments. These assets are professionally managed, and earnings generated by assets (mainly rental income) are generally transferred to REIT holders at regular intervals after costs such as REIT management fees and property management fees have been deducted.  Source: Real Estate Investment Trust (REIT)  https://www.99.co/singapore/glossary/real-estate-investment-trust-reit/  (index: Real Estate Investment Trust (REIT))",What is a Real Estate Investment Trust (REIT)?|a Real Estate Investment Trust|REIT
term.how_does_reit_work,How does REIT work,Agency&Authority,"Through an initial public offering (IPO), money is obtained from unit holders and utilised by the REIT to buy a pool of real estate holdings. Tenants are subsequently assigned to these properties. In exchange, the revenue is distributed to the unit holders (investors) (which are similar to dividends).  Source: Real Estate Investment Trust (REIT)  https://www.99.co/singapore/glossary/real-estate-investment-trust-reit/  (index: Real Estate Investment Trust (REIT))",REIT
term.advantages_and_disadvantages_of_real_estate_investment_trust_reit,Advantages and Disadvantages of Real Estate Investment Trust (REIT),Agency&Authority,Source: Real Estate Investment Trust (REIT)  https://www.99.co/singapore/glossary/real-estate-investment-trust-reit/  (index: Real Estate Investment Trust (REIT)),Advantages and Disadvantages of Real Estate Investment Trust|REIT|ADREIT
term.advantages,Advantages,Agency&Authority,Source: Real Estate Investment Trust (REIT)  https://www.99.co/singapore/glossary/real-estate-investment-trust-reit/  (index: Real Estate Investment Trust (REIT)),
term.disadvantages,Disadvantages,Agency&Authority,Source: Real Estate Investment Trust (REIT)  https://www.99.co/singapore/glossary/real-estate-investment-trust-reit/  (index: Real Estate Investment Trust (REIT)),
term.an_executive_condominium_ec,an Executive Condominium (EC),HDB,"Executive condominiums (EC), also known as ‘sandwich flats’, are designed for a small segment of potential homeowners who earn above the income limit for HDB flats but do not wish to or cannot purchase a private condominium. These housing units represent a blend of public and private housing. Initially sold as public housing, they undergo automatic privatisation after ten years. ECs excel in appearance and functionality, closely resembling private condominiums. They provide an array of amenities such as swimming pools, gyms, clubhouses, tennis courts, and more. Stringent security measures are implemented within the premises as well.  Source: Income ceiling – Executive Condominium (EC)  https://www.99.co/singapore/glossary/income-ceiling-executive-condominium-ec/  (index: Income ceiling – Executive Condominium (EC))",What is an Executive Condominium (EC)?|an Executive Condominium|EC
term.is_there_an_income_ceiling_to_purchase_an_executive_condominium_ec,Is there an income ceiling to purchase an Executive Condominium (EC),HDB,"While private condominiums are generally available for individuals with the necessary financial means, ECs have additional requirements. Similar to the eligibility criteria for obtaining an HDB flat, you must meet one of the following schemes to qualify: At least one applicant must be a Singapore citizen, and one of the applicants must be at least 21 years old. For the JSS, the minimum age requirement is 35 years. The only difference lies in the income ceiling, which is currently set at S$16,000 or below. If you and your co-applicant have a combined income exceeding S$16,000, you are not eligible to apply for an EC.  Source: Income ceiling – Executive Condominium (EC)  https://www.99.co/singapore/glossary/income-ceiling-executive-condominium-ec/  (index: Income ceiling – Executive Condominium (EC))",Is there an income ceiling to purchase an Executive Condominium|EC|IEC
term.how_do_i_contact_the_hdb_hotline,How do I contact the HDB Hotline,HDB,"To get in touch with HDB, you can call the HDB Hotline at 1800-225-5432. Their operating hours are from 8:00 AM to 5:00 PM on weekdays. This hotline is a go-to for general inquiries regarding housing matters. For more specific issues, you can also use the e-Feedback Form available on the HDB website.  Source: HDB Hotline: How to Contact HDB?  https://www.99.co/singapore/glossary/hdb-hotline/  (index: HDB Hotline: How to Contact HDB?)",HDB|HH
term.how_do_i_book_an_appointment_with_hdb,How do I book an appointment with HDB,HDB,"To book an appointment with HDB, you can use the HDB e-Appointment System. This system is accessible through the HDB InfoWeb or the Mobile@HDB app. It allows you to select an appointment time that fits your schedule, whether you need to visit in person or prefer a virtual consultation. For those who prefer virtual appointments, you can also use the LifeSG app, which provides an easy interface to book video consultations with HDB officers for services like flat application, lease buyback scheme, or mortgage loans.  Source: HDB Hotline: How to Contact HDB?  https://www.99.co/singapore/glossary/hdb-hotline/  (index: HDB Hotline: How to Contact HDB?)",HDB
term.can_i_book_a_virtual_appointment,Can I book a virtual appointment,HDB,"Yes, HDB offers virtual appointments through the LifeSG app. You can book a video consultation to discuss various housing services, such as CPF Top-Up Grant applications, flat ownership transfers, or even flat upgrading services. These virtual consultations allow you to connect from the comfort of your home, as long as you have a stable internet connection.  Source: HDB Hotline: How to Contact HDB?  https://www.99.co/singapore/glossary/hdb-hotline/  (index: HDB Hotline: How to Contact HDB?)",
term.how_do_i_prepare_for_an_hdb_appointment,How do I prepare for an HDB appointment,HDB,"After booking an appointment, HDB typically sends you a reminder via SMS to confirm the details. For in-person meetings, it’s advisable to bring any required documents. If you’re attending a virtual appointment, ensure you have access to a desktop, laptop, or smartphone with a stable internet connection. You can find details of your scheduled appointments through the Mobile@HDB app.  Source: HDB Hotline: How to Contact HDB?  https://www.99.co/singapore/glossary/hdb-hotline/  (index: HDB Hotline: How to Contact HDB?)",HDB
term.what_services_require_an_appointment,What services require an appointment,HDB,"You may need to schedule an appointment with HDB for services such as: • Booking a flat (new or resale). • Addressing lease-related matters (e.g., Lease Buyback Scheme). • Applying for CPF top-up grants or other housing services. • Handling flat ownership transfers or surrendering a flat.  Source: HDB Hotline: How to Contact HDB?  https://www.99.co/singapore/glossary/hdb-hotline/  (index: HDB Hotline: How to Contact HDB?)",
term.how_do_i_reschedule_or_cancel_my_appointment,How do I reschedule or cancel my appointment,HDB,"You can reschedule or cancel your HDB appointment through the same platform you used for booking—either the HDB e-Appointment System or the LifeSG app. HDB makes it easy to adjust your appointment if your plans change. [HEADING-H3] Conclusion Booking an appointment with HDB is straightforward, thanks to the e-Appointment System and the LifeSG app. Whether you prefer an in-person or virtual consultation, HDB ensures a smooth process for handling your housing needs. Make sure to check your SMS reminders and prepare any necessary documents for a hassle-free experience.  Source: HDB Hotline: How to Contact HDB?  https://www.99.co/singapore/glossary/hdb-hotline/  (index: HDB Hotline: How to Contact HDB?)",
term.a_tenant,a tenant,Other,"A tenant is an individual or entity that rents property from a landlord for a specified period of time. In Singapore’s real estate market, tenants play a crucial role in the residential and commercial sectors.  Source: Tenant  https://www.99.co/singapore/glossary/tenant-definition-understanding-and-importance/  (index: Tenant)",What is a tenant?
term.understanding_tenants,Understanding tenants,Legal&Docs,"Tenants enter into a lease agreement with a landlord, which outlines the terms and conditions of the rental. This includes the duration of the lease, the amount of rent, and the responsibilities of both the tenant and landlord. The tenant’s responsibilities often include paying rent on time, keeping the property clean and undamaged, and adhering to any rules set by the landlord or property manager.  Source: Tenant  https://www.99.co/singapore/glossary/tenant-definition-understanding-and-importance/  (index: Tenant)",
term.importance_of_tenants_in_real_estate_and_property,Importance of tenants in real estate and property,Other,"Tenants are a vital part of the real estate market, contributing to the demand for rental properties. In the residential sector, tenants include individuals and families who rent homes or apartments. In the commercial sector, tenants can be businesses that rent office space, retail space, or other types of commercial properties.  Source: Tenant  https://www.99.co/singapore/glossary/tenant-definition-understanding-and-importance/  (index: Tenant)",
term.conclusion,Conclusion,Other,"Tenants play a crucial role in Singapore’s real estate market, driving demand in the residential and commercial sectors. Understanding the rights and responsibilities of tenants can help individuals and businesses navigate the rental market more effectively. The landlord-tenant relationship can be complex, and it’s often advisable to seek legal advice or the services of a property management professional.  Source: Tenant  https://www.99.co/singapore/glossary/tenant-definition-understanding-and-importance/  (index: Tenant)",
term.a_certificate_of_statutory_completion_csc,a Certificate of Statutory Completion (CSC),Legal&Docs,"The Certificate of Statutory Completion (CSC) is the authorisation the Building and Construction Authority (BCA) gives when all the necessary building requirements are satisfied. Basically, it indicates everything related to your new home is in good order. Building occupancy is not allowed until a CSC or TOP is granted. If all the requirements are met, the applicant can apply directly for a CSC. However, if only some of the requirements are met, they can apply for a TOP and then fulfill the remaining requirements before acquiring a CSC.  Source: Certificate of Statutory Completion (CSC)  https://www.99.co/singapore/glossary/certificate-of-statutory-completion-csc/  (index: Certificate of Statutory Completion (CSC))",What is a Certificate of Statutory Completion (CSC)?|a Certificate of Statutory Completion|CSC
term.how_do_i_apply_for_a_certificate_of_statutory_completion_csc,How do I apply for a Certificate of Statutory Completion (CSC),Legal&Docs,Source: Certificate of Statutory Completion (CSC)  https://www.99.co/singapore/glossary/certificate-of-statutory-completion-csc/  (index: Certificate of Statutory Completion (CSC)),How do I apply for a Certificate of Statutory Completion|CSC|HCSC
term.process_of_applying_for_a_certificate_of_statutory_completion_csc,process of applying for a Certificate of Statutory Completion (CSC),Legal&Docs,"The QP and applicant can ask for the CSC after following the steps in the TOP. They don’t need to get the TOP first if they meet all the requirements. Once the applications are in order and all the requirements have been completed, the BCA will issue the CSC within 7 working days of the application or upon full compliance with the requirements, whichever is later. However, if there are still requirements that need to be met, a written directive outlining the steps for compliance will be issued to the QP.  Source: Certificate of Statutory Completion (CSC)  https://www.99.co/singapore/glossary/certificate-of-statutory-completion-csc/  (index: Certificate of Statutory Completion (CSC))",What is the process of applying for a Certificate of Statutory Completion (CSC)?|process of applying for a Certificate of Statutory Completion|CSC
term.additional_reading,Additional reading,Legal&Docs,Source: Certificate of Statutory Completion (CSC)  https://www.99.co/singapore/glossary/certificate-of-statutory-completion-csc/  (index: Certificate of Statutory Completion (CSC)),
term.an_exit_pass,an exit pass,Other,"An exit pass is a permission document that migrant workers residing in Singapore dormitories must acquire before leaving their dorms to go to specific locations in the community, such as recreation centres.  Source: Exit pass  https://www.99.co/singapore/glossary/exit-pass-application-for-an-exit-pass/  (index: Exit pass)",What is an exit pass?
term.do_i_still_need_an_exit_pass_in_singapore,Do I still need an exit pass in Singapore,Other,"Previously, all workers, regardless of their vaccination status, were obligated to obtain these exit passes as a Covid-19 safety measure. However, in April 2022, vaccinated migrant workers were no longer obliged to apply for exit passes to visit recreation centres. This adjustment was part of the effort to align the safety protocols for migrant workers with those applicable to the broader community. During this period, only unvaccinated workers were required to apply for exit passes and undergo antigen rapid tests (ART) before they could visit recreation centres. Workers who did not receive the COVID-19 vaccine were prohibited from visiting the community, and restrictions on group size were still in effect. In May 2022, the limit for vaccinated migrant workers to visit the community was increased to 15,000 on weekdays and 30,000 on weekends and public holidays by The Ministry of Health (MOH). Previously, the caps were set at 3,000 and 6,000, respectively. On June 24 2022, COVID-19 regulations for migrant workers were relaxed, eliminating the requirement for exit passes and limits when visiting recreation centres. This was part of the country’s ongoing efforts to ease COVID-19 measures within the community. Instead, the MOH introduced visit passes to ensure effective management of the anticipated high number of visitors in popular areas.  Source: Exit pass  https://www.99.co/singapore/glossary/exit-pass-application-for-an-exit-pass/  (index: Exit pass)",DS
term.how_to_apply_for_an_exit_pass,How to apply for an exit pass,Other,The government has eliminated the need for migrant workers to apply for exit passes.  Source: Exit pass  https://www.99.co/singapore/glossary/exit-pass-application-for-an-exit-pass/  (index: Exit pass),
term.a_visit_pass,a visit pass,Other,"On June 10 2022, migrant workers wishing to visit four popular locations on Sundays and public holidays were required to apply for a visit pass. To manage the crowd at Chinatown, Geylang Serai, Jurong East and Little India, the MOH announced the implementation of a new mechanism. Migrant workers who intended to visit these places on Sundays or public holidays had to obtain a visit pass. This pass was also known as the “popular places pass”. Eighty thousand visit passes were available for each Sunday or public holiday. Initially, 30,000 passes were allocated for Little India, 20,000 for Jurong East, and 15,000 for Geylang Serai and Chinatown. Migrant workers did not require a visit pass if they visited other Singapore locations on any day of the week.  Source: Exit pass  https://www.99.co/singapore/glossary/exit-pass-application-for-an-exit-pass/  (index: Exit pass)",What is a visit pass?
term.how_to_apply_for_a_visit_pass,How to apply for a visit pass,Other,"Similar to the exit pass, the requirement for visit passes has been lifted for migrant workers who wish to visit popular places.  Source: Exit pass  https://www.99.co/singapore/glossary/exit-pass-application-for-an-exit-pass/  (index: Exit pass)",
term.what_does_hdb_mop_eligibility_mean,What does HDB MOP eligibility mean,HDB,"HDB MOP is an abbreviation for HDB’s Minimum Occupation Period, which is a restriction that prohibits you from selling or renting out the entire apartment for the first few years after you move in (usually five years). You are also not permitted to purchase another private property during the MOP. The HDB MOP helps to deter homeowners from immediately “flipping” their freshly bought units for a profit. This policy is set in place to prevent the artificial inflation of public housing prices. It should be noted that the HDB MOP begins on the day you receive your keys and only covers the time you are staying in the unit.  Source: HDB MOP Eligibility  https://www.99.co/singapore/glossary/hdb-mop-eligibility/  (index: HDB MOP Eligibility)",HDB
term.process_of_hdb_mop_eligibility,process of HDB MOP eligibility,HDB,"You will be notified of the current Ethnic Integration Policy (EIP)/ Singapore Permanent Resident (SPR) quota for your apartment after registering an Intent to Sell on the HDB Resale Portal. Through your Intent to Sell on the HDB Resale Portal or the EIP/ SPR quota e-Service, you can keep track of the monthly changes. Updated on the 1st of every month, the EIP/SPR quota will apply to finished resale applications* that are sent in within the same month. *A resale application is only complete when HDB gets the required supporting papers and both the buyers’ and sellers’ portions of the resale application. How does the EIP and SPR quota apply here? When selling an HDB apartment, the Ethnic Integration Policy (EIP) quota must be met. Non-Malaysian SPR families must also fulfil the SPR quota. You will be qualified to sell the HDB apartment considering the following; • The number of households belonging to your ethnicity continues to exist within the boundaries of your block and neighbourhood after the sale of your apartment. • The number of SPR households for non-Malaysian residents stays within the SPR quota. • You and the buyer share the same ethnicity and family citizenship.  Source: HDB MOP Eligibility  https://www.99.co/singapore/glossary/hdb-mop-eligibility/  (index: HDB MOP Eligibility)",What is the process of HDB MOP eligibility?|HDB
term.can_i_sell_my_flat_despite_the_hdb_mop,Can I sell my flat despite the HDB MOP,HDB,"The following are some exemptions in situations involving bankruptcy, divorce, and other special cases: If selling your apartment and moving into a less expensive one will help you escape bankruptcy, HDB may allow you to do so. However, its process may vary for a Singaporean and a non-Singaporean; • Under the Housing and Development Act, if a Singapore Citizen is one of the owners of an HDB apartment, the sale of the flat does not require approval from the Official Assignee. • If none of the flat owners is a Singaporean citizen, they must first obtain approval from the Official Assignee before selling the apartment. Divorce is a major reason most individuals sell their HDB apartments before the MOP expires. In this instance, the parties can sell the property and split the revenues. For HDB to examine your application, you must submit the following documents: • A writ of judicial separation • Certificate of interim judgment as well as Certificate of Making Interim Judgment Final • If you are a Muslim, you will need a divorce certificate and a court of law’s decision. Aside from divorce and bankruptcy, the HDB also considers the following features when permitting you to sell your house early: • When a family’s sole breadwinner is unable to work due to disability or death, they may be permitted by HDB to sell their flats before the MOP expires. • In cases of a terminal illness. However, HDB will first assess your case. • When there is a loss or renouncement of citizenship. You may, for example, decide to relocate permanently to another country. In such cases, HDB may allow you to sell your home before the scheduled time and also retrieve your CPF funds.  Source: HDB MOP Eligibility  https://www.99.co/singapore/glossary/hdb-mop-eligibility/  (index: HDB MOP Eligibility)",HDB
term.joint_singles_scheme_operator_run_jss_or,Joint Singles Scheme Operator-Run (JSS-OR),HDB,"The Housing and Development Board (HDB) announced the introduction of the Joint Singles Scheme Operator-Run (JSS-OR) on December 17, 2021. This program aims to assist low-income singles who require rental housing by allowing them to secure rental flats without needing a flatmate. Instead, individuals can apply as single applicants, and the HDB-assigned operator will match them with a suitable flatmate based on gender, age, ethnicity, and living habits. This matching process increases the likelihood of finding a compatible living arrangement.  Source: Joint Singles Scheme Operator-Run (JSS-OR)  https://www.99.co/singapore/glossary/joint-singles-scheme-operator-run-jss-or/  (index: Joint Singles Scheme Operator-Run (JSS-OR))",What is the Joint Singles Scheme Operator-Run (JSS-OR)?|Joint Singles Scheme Operator-Run|JSS-OR|JSS|JSSOR
term.joint_singles_scheme_jss_vs_joint_singles_scheme_operator_run_jss_or_what_is_the_difference,Joint Singles Scheme (JSS) vs Joint Singles Scheme Operator-Run (JSS-OR) – what is the difference,HDB,"While most JSS applicants can find a flatmate and live harmoniously, some face challenges. The HDB JSS-OR now provides singles with an additional option. Under this programme, HDB offers a combination of 1 and 2-room flats. These flats will have partitions installed to accommodate two or three occupants to address privacy concerns. Moreover, the flats come with basic household furnishings and appliances, including wardrobes, a water heater, a washing machine, and a refrigerator, allowing tenants to move in swiftly. An operator will facilitate introductions between tenants and intervene to resolve any possible disagreements.  Source: Joint Singles Scheme Operator-Run (JSS-OR)  https://www.99.co/singapore/glossary/joint-singles-scheme-operator-run-jss-or/  (index: Joint Singles Scheme Operator-Run (JSS-OR))",JSS
